ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
2020-01-30 00:00:00,,India,2020-01-30 16:00:00,1.0,0.0,0.0
2020-01-31 00:00:00,,India,2020-01-31 23:59:00,1.0,0.0,0.0
2020-02-01 00:00:00,,India,2020-01-31 08:15:00,1.0,0.0,0.0
2020-02-02 00:00:00,,India,2020-02-02 06:03:08,2.0,0.0,0.0
2020-02-03 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-04 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-05 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-06 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-07 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-08 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-09 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-10 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-11 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-12 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
2020-02-13 00:00:00,,India,2020-02-13 18:53:02,3.0,0.0,0.0
2020-02-14 00:00:00,,India,2020-02-13 18:53:02,3.0,0.0,0.0
2020-02-15 00:00:00,,India,2020-02-13 18:53:02,3.0,0.0,0.0
2020-02-16 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-17 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-18 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-19 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-20 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-21 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-22 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-23 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-24 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-25 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-26 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-27 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-28 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-02-29 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-03-01 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2020-03-02 00:00:00,,India,2020-03-02 22:33:09,5.0,0.0,3.0
2020-03-03 00:00:00,,India,2020-03-02 22:33:09,5.0,0.0,3.0
2020-03-04 00:00:00,,India,2020-03-04 12:33:03,28.0,0.0,3.0
2020-03-05 00:00:00,,India,2020-03-05 13:53:03,30.0,0.0,3.0
2020-03-06 00:00:00,,India,2020-03-06 13:03:12,31.0,0.0,3.0
2020-03-07 00:00:00,,India,2020-03-07 18:13:27,34.0,0.0,3.0
2020-03-08 00:00:00,,India,2020-03-08 09:23:05,39.0,0.0,3.0
2020-03-09 00:00:00,,India,2020-03-09 09:13:17,43.0,0.0,3.0
2020-03-10 00:00:00,,India,2020-03-10 10:13:28,56.0,0.0,4.0
2020-03-11 00:00:00,,India,2020-03-11 22:13:12,62.0,1.0,4.0
2020-03-12 00:00:00,,India,2020-03-12 08:33:13,73.0,1.0,4.0
2020-03-13 00:00:00,,India,2020-03-11 20:00:00,82.0,2.0,4.0
2020-03-14 00:00:00,,India,2020-03-14 20:33:03,102.0,2.0,4.0
2020-03-15 00:00:00,,India,2020-03-15 18:20:18,113.0,2.0,13.0
2020-03-16 00:00:00,,India,2020-03-16 14:38:45,119.0,2.0,13.0
2020-03-17 00:00:00,,India,2020-03-17 15:33:06,142.0,3.0,14.0
2020-03-18 00:00:00,,India,2020-03-18 13:33:12,156.0,3.0,14.0
2020-03-19 00:00:00,,India,2020-03-19 20:43:02,194.0,4.0,15.0
